date,open,high,low,close,volume
2022-04-27,299.526367,305.999694,292.453041,293.836373,76956472
2022-04-28,299.993033,299.9997,273.899726,292.503041,124948651
2022-04-29,300.749699,311.466322,289.99971,290.253043,88133083
2022-05-02,286.923046,302.119665,282.676384,300.979699,75781446
2022-05-03,301.059699,308.026359,296.19637,303.08303,63709638
2022-05-04,301.313032,318.499681,295.093038,317.539682,81643785
2022-05-05,313.069687,315.199685,285.899714,291.093042,92519285
2022-05-06,295.666371,295.999704,281.034719,288.549711,72903183
2022-05-09,278.816388,281.876385,260.383073,262.369738,90810312
2022-05-10,273.10306,275.119725,258.083075,266.679733,84401715
2022-05-11,264.999735,269.923063,242.399758,244.666422,97224556
2022-05-12,233.666433,253.219747,226.66644,242.666424,140313002
2022-05-13,257.826409,262.449704,250.521416,256.529743,92150816
2022-05-16,255.719744,256.58641,239.695927,241.456425,86098625
2022-05-17,249.119751,254.826412,242.949757,253.869746,80236190
2022-05-18,248.173085,253.499747,233.6031,236.603097,87811899
2022-05-19,235.666431,244.666422,231.369769,236.473097,90296763
2022-05-20,237.996429,240.527093,210.999789,221.299779,144973449
2022-05-23,218.339782,226.651473,212.686454,224.966442,88903726
2022-05-24,217.843115,217.973115,206.85646,209.386457,89092604
2022-05-25,207.949792,223.106444,207.669826,219.59978,92139416
2022-05-26,220.473113,239.556394,217.886449,235.909764,106003450
2022-05-27,241.083092,253.266413,240.176793,253.209747,89295071
2022-05-31,257.946409,259.59974,244.743089,252.753081,101914472
2022-06-01,251.719748,257.326409,243.639756,246.789753,77248040
2022-06-02,244.156423,264.209736,242.066425,258.333075,93473211
2022-06-03,243.224757,247.796386,233.417567,234.516432,112393849
2022-06-06,244.353089,244.866422,234.349766,238.279762,84204606
2022-06-07,233.999766,239.996427,230.093103,238.886428,72808674
2022-06-08,240.086427,249.963083,239.176427,241.866425,76210696
2022-06-09,249.339751,255.546378,239.326427,239.706427,96491403
2022-06-10,235.156432,239.49976,227.913105,232.229768,98090996
2022-06-13,223.166444,226.633107,214.683119,215.736451,102767364
2022-06-14,218.286448,226.329774,211.736455,220.889779,97988893
2022-06-15,220.916446,235.663064,218.149782,232.999767,119132054.00000001
2022-06-16,222.736444,225.166442,208.693125,213.099787,107390806.99999999
2022-06-17,213.43312,220.969179,213.196453,216.759783,92641862
2022-06-21,224.603109,243.577123,224.333109,237.03643,122793077
2022-06-22,234.503099,246.833086,233.826433,236.086431,101527361.00000001
2022-06-23,237.904762,239.316427,228.636438,235.069765,104202782.00000001
2022-06-24,237.468096,246.066421,236.086431,245.706421,95770790
2022-06-27,249.366417,252.069748,242.565291,244.919755,89178401
2022-06-28,244.483089,249.96975,232.343101,232.663101,90666591
2022-06-29,230.49977,231.173102,222.273111,228.489772,82897336
2022-06-30,224.509775,229.456437,218.863114,224.473109,94600546
2022-07-01,226.999773,230.22977,222.119811,227.263106,74460518
2022-07-05,222.999777,233.146434,216.166484,233.066434,84779196
2022-07-06,230.779769,234.563099,227.186439,231.733102,71853701
2022-07-07,233.919766,245.361421,232.209768,244.543089,81930771
2022-07-08,242.333091,254.979712,241.161192,250.763083,101854187
2022-07-11,252.103081,253.06308,233.626433,234.343099,99509319
2022-07-12,236.84643,239.773094,228.368105,233.069767,87931047
2022-07-13,225.499774,242.059725,225.033108,237.039763,97954594
2022-07-14,234.896432,238.653095,229.333104,238.313095,78557577
2022-07-15,239.99976,243.623056,236.889763,240.066427,69683088
2022-07-18,244.936422,250.516416,239.603094,240.546426,82537510
2022-07-19,244.999755,247.139753,236.97643,245.529754,80890190
2022-07-20,246.783087,250.663083,243.482757,247.499752,88864177
2022-07-21,255.106412,273.266393,254.866412,271.706395,142032319
2022-07-22,276.219724,280.786386,270.713063,272.243061,103472950
2022-07-25,272.216394,274.146393,267.399733,268.433065,64073569
2022-07-26,266.513067,267.309699,256.263077,258.859741,66820824
